movie_id,language
3793023,印地语
3793023,乌尔都语
3793023,英语
1291561,日语
1292063,意大利语
1292063,德语
1292063,英语
1292722,英语
1292722,法语
1292722,德语
1292722,瑞典语
1292722,意大利语
1292722,俄语
1292001,英语
1292001,法语
2131459,英语
1929463,英语
1929463,泰米尔语
1929463,法语
1929463,日语
1929463,印地语
1929463,汉语普通话
3011091,英语
3011091,日语
1295124,英语
1295124,希伯来语
1295124,德语
1295124,波兰语
1292213,粤语
1292213,汉语普通话
1291549,法语
6786002,法语
3319755,英语
1849031,英语
1849031,粤语
1291560,日语
1292064,英语
1292000,英语
1291841,英语
1291841,意大利语
1291841,拉丁语
1309046,英语
1299398,粤语
1299398,汉语普通话
2129039,英语
1907966,英语
3742360,汉语普通话
3742360,四川话
3742360,山西话
1307914,粤语
1291828,意大利语
1291828,英语
1291828,葡萄牙语
1851857,英语
1851857,汉语普通话
1291552,英语
1291552,昆雅语
1291552,古英语
1291552,辛达林语
1291583,日语
1293839,英语
1293839,意大利语
1293839,德语
1293182,英语
1293350,英语
1291858,汉语普通话
1291858,日语
1291858,唐山话
1292215,法语
1292215,俄语
1900841,德语
1292223,英语
1292223,葡萄牙语
1300267,英语
1306029,英语
1780330,英语
1292370,英语
1292224,英语
1787291,日语
1298624,英语
1291571,英语
1291571,辛达林语
1292365,汉语普通话
1291572,英语
1291572,辛达林语
1291572,古代英语
1652587,英语
1652587,西班牙语
1485260,英语
1485260,俄语
1485260,法语
3287562,英语
1308807,日语
4917726,韩语
1292343,英语
1292220,日语
1291548,英语
2334904,英语
2334904,德语
1292402,意大利语
1292402,英语
1292402,拉丁语
1292402,古希腊语
1291832,英语
1291832,西班牙语
1291832,法语
21360417,韩语
1296736,英语
1296736,德语
1296736,俄语
1293544,英语
2353023,英语
6985810,丹麦语
6985810,英语
6985810,波兰语
1291843,英语
1299131,英语
1299131,意大利语
1299131,西班牙语
1299131,拉丁语
1299131,西西里语
1297192,英语
1291818,汉语普通话
1291818,闽南语
1291818,湖南话
1301753,英语
1301753,斯瓦希里语
1301753,科萨语
1301753,祖鲁语
1292262,英语
1292262,法语
1292262,意大利语
10577869,英语
4268598,日语
1978709,英语
1978709,法语
1978709,意大利语
1316510,粤语
2149806,日语
1294639,英语
1294639,法语
1294639,拉丁语
1294639,苏格兰盖尔语
1292656,英语
1298070,英语
1300299,韩语
1291999,粤语
1291999,汉语普通话
1291999,英语
1291999,印地语
1291999,日语
1418834,英语
3072124,英语
3072124,依地语
1292849,英语
1292849,法语
1292849,德语
1292849,捷克语
10777687,韩语
1297630,英语
1297630,拉丁语
1297630,西班牙语
6874403,英语
1291875,汉语普通话
3792799,粤语
3792799,汉语普通话
3792799,英语
3792799,上海话
3792799,法语
2209573,英语
2209573,印地语
2209573,法语
1291545,英语
1291545,法语
1291545,俄语
1291545,粤语
1291545,汉语普通话
3011235,英语
3075287,英语
5322596,英语
1296339,英语
1296339,德语
1296339,法语
1304447,英语
3395373,英语
1793929,英语
1793929,日语
4739952,泰语
4739952,印尼语
4739952,英语
4920528,汉语普通话
1294408,英语
1305487,英语
1305487,法语
1297359,日语
1305164,粤语
1305164,汉语普通话
1305164,英语
1292679,粤语
1292679,汉语普通话
1292679,西班牙语
3011051,英语
1303021,波斯语
1291579,英语
1291990,英语
1291990,法语
4202302,日语
1309163,英语
6534248,英语
1295038,英语
1292208,葡萄牙语
1306249,粤语
1297447,粤语
2043546,日语
6307447,英语
6307447,法语
6307447,德语
3008247,英语
5989818,日语
1292401,英语
1292401,葡萄牙语
1292401,法语
4023638,英语
1296141,英语
1296141,德语
1302425,粤语
1418019,汉语普通话
1291870,英语
1291870,意大利语
1760622,英语
1293359,日语
1292434,汉语普通话
1292434,闽南语
1292434,福建话
1292434,英语
1292434,日语
1293318,日语
1418200,英语
1292328,粤语
1292328,汉语普通话
1294371,英语
1291585,日语
1292274,英语
1292274,俄语
1292274,法语
1292274,保加利亚语
10808442,英语
10808442,希腊语
10808442,法语
1858711,英语
1858711,西班牙语
3068206,英语
3068206,俄语
3068206,阿拉伯语
4286017,英语
4286017,葡萄牙语
1291578,英语
1291578,克罗地亚语
1297052,日语
1297052,英语
6860160,英语
1578507,英语
1578507,法语
1578507,阿拉伯语
1578507,俄语
1578507,西班牙语
1293172,英语
1293172,汉语普通话
1293172,日语
1293172,俄语
1862151,汉语普通话
1862151,重庆话
1291844,英语
1291844,西班牙语
1865703,日语
1937946,日语
1292217,英语
1292217,西班牙语
1292528,英语
2300586,英语
2213597,英语
2213597,德语
2213597,希腊语
2213597,拉丁语
2297265,德语
1397546,英语
4848115,日语
1291557,粤语
1291557,上海话
1291557,法语
4915857,英语
1302827,英语
1303394,粤语
1297574,粤语
1297574,汉语普通话
1297574,英语
1291822,英语
1291822,法语
1294240,英语
1294240,意大利语
1294240,德语
1294240,拉丁语
1295865,英语
1303037,汉语普通话
1303037,英语
1304102,英语
1304102,法语
1304102,德语
1304102,荷兰语
1304102,意大利语
1300992,英语
1295409,粤语
1395091,日语
5964718,波斯语
1295399,日语
1308817,法语
1866479,英语
1866479,俄语
1291879,日语
1388216,英语
1388216,波斯语
1388216,西班牙语
1388216,汉语普通话
1388216,韩语
1438652,英语
1438652,德语
1438652,法语
1438652,意大利语
1306861,英语
1305725,英语
1305725,西班牙语
1305690,粤语
1305690,汉语普通话
1305690,英语
1305690,菲律宾语
1305690,上海话
1292659,英语
1292659,拉丁语
3073124,英语
3073124,西班牙语
1308767,英语
1308767,俄语
1308767,德语
1308767,意大利语
1296909,法语
1296909,英语
1296909,德语
1419936,英语
1419936,法语
1419936,德语
1419936,俄语
1419936,西班牙语
1419936,乌克兰语
1419936,阿拉伯语
1419936,土耳其语
1419936,汉语普通话
1292287,汉语普通话
1292287,粤语
3007773,英语
1304073,韩语
1307811,日语
2053515,英语
2053515,捷克语
1966182,英语
1302467,英语
1302467,法语
1292062,英语
1292270,英语
3530403,英语
3530403,西班牙语
1292233,英语
1294638,英语
1308575,汉语普通话
1300117,英语
1300117,世界语
1291853,英语
1291853,德语
1291853,意大利语
1291853,阿拉伯语
1291568,日语
1905462,英语
1905462,丹麦语
3072086,英语
3072086,法语
3072086,瑞典语
4305436,粤语
1293964,英语
1959195,日语
1292214,英语
1292214,匈牙利语
1292214,西班牙语
1292214,法语
1308857,汉语普通话
1308857,藏语
3789848,英语
6549903,英语
6549903,波斯语
2365260,泰语
3993559,赛德克语
3993559,闽南语
3993559,日语
3217169,英语
1292286,英语
1292286,韩语
3731581,英语
3731581,葡萄牙语
6019180,韩语
3205624,英语
3205624,法语
1867345,英语
3824274,法语
3824274,日语
1301171,英语
1301171,俄语
2363506,印地语
2363506,英语
1298653,英语
1298653,俄语
1292728,英语
4798888,英语
1299327,英语
1428175,英语
1428175,门德语
1428175,南非荷兰语
11529526,英语
11529526,汉语普通话
3649049,汉语普通话
3649049,英语
3649049,日语
3649049,南京话
3649049,上海话
1293181,英语
5977835,英语
5977835,汉语普通话
5977835,粤语
3793783,英语
3793783,格陵兰语
3824672,汉语普通话
3824672,台湾手语
3824672,台语
1293460,英语
10535568,法语
10535568,英语
1307106,粤语
1307106,英语
1307106,汉语普通话
1307106,泰语
1482072,英语
1482072,法语
1291992,英语
3233635,英语
3168089,英语
3168089,德语
3168089,法语
3168089,西班牙语
3168089,俄语
1300374,英语
1300374,法语
6537486,法语
4826419,韩语
3726072,粤语
3726072,汉语普通话
1297478,英语
1297478,南非荷兰语
1297478,Ungwatsi
1296753,英语
1296753,法语
1296753,德语
1296753,意大利语
1300960,法语
1300960,英语
1300960,意大利语
1308777,英语
1300741,粤语
3011308,英语
3011308,美国手语
3011308,爱沙尼亚语
1292226,英语
1292226,俄语
3006772,英语
3006772,尼安哈语
3006772,南非荷兰语
3006772,祖鲁语
3006772,科萨语
3006772,塞索托语
3734112,汉语普通话
3734112,日语
1292329,汉语普通话
1292329,上海话
1292329,闽南语
1292329,粤语
4876722,东北话
4876722,汉语普通话
4876722,俄语
10574622,汉语普通话
10574622,英语
10574622,泰语
1302476,粤语
1401118,意大利语
1401118,英语
1293908,英语
1828115,汉语普通话
1828115,上海话
1828115,英语
1828115,粤语
1828115,日语
1828115,印地语
2124586,英语
2124586,法语
2124586,阿尔巴尼亚语
2124586,阿拉伯语
5908478,韩语
1304141,英语
1304141,法语
1301617,英语
1293929,英语
4191644,英语
1308865,韩语
3364223,英语
3364223,法语
1297518,粤语
