movie_id,director
6985810,托马斯·温特伯格
1291843,安迪·沃卓斯基 
1291843, 拉娜·沃卓斯基
1299131,弗朗西斯·福特·科波拉
1297192,詹姆斯·曼高德
1291818,李安
1301753,罗杰·阿勒斯 
1301753, 罗伯·明可夫
1292262,赛尔乔·莱翁内
10577869,理查德·柯蒂斯
4268598,中岛哲也
1978709,达伦·阿伦诺夫斯基
1316510,刘镇伟
2149806,泷田洋二郎
1294639,梅尔·吉布森
1292656,格斯·范·桑特
1298070,戈尔·维宾斯基
1300299,奉俊昊
1291999,王家卫
1418834,李安
3072124,亚当·艾略特
1292849,史蒂文·斯皮尔伯格
10777687,李焕庆
1297630,M·奈特·沙马兰
6874403,约翰·卡尼
1291875,姜文
3792799,罗启锐
2209573,丹尼·博伊尔 
2209573, 洛芙琳·坦丹
1291545,蒂姆·波顿
3011235,大卫·叶茨
3075287,邓肯·琼斯
5322596,托尼·凯耶
1296339,理查德·林克莱特
1304447,克里斯托弗·诺兰
3395373,克里斯托弗·诺兰
1793929,让-马克·瓦雷
4739952,普特鹏·普罗萨卡·那·萨克那卡林 
4739952, 华森·波克彭
4920528,九把刀
1294408,罗伯特·怀斯
1305487,史蒂文·斯皮尔伯格
1297359,宫崎骏
1305164,陈可辛
1292679,王家卫
3011051,克里斯托弗·史密斯
1303021,马基德·马基迪
1291579,彼特·道格特 
1291579, 大卫·斯沃曼 
1291579, 李·昂克里奇
1291990,理查德·林克莱特
4202302,米林宏昌
1309163,尼克·卡索维茨
6534248,瑞奇·摩尔
1295038,克里斯·哥伦布
1292208,卡迪亚·兰德 
1292208, 费尔南多·梅里尔斯
1306249,李力持
1297447,程小东
2043546,新海诚
6307447,昆汀·塔伦蒂诺
3008247,马克·赫尔曼
5989818,大森贵弘
1292401,理查德·柯蒂斯
4023638,汤姆·霍珀
1296141,比利·怀德
1302425,周星驰 
1302425, 李力持
1418019,万籁鸣 
1418019, 唐澄
1291870,巴瑞·莱文森
1760622,汤姆·提克威
1293359,北野武
1292434,杨德昌
1293318,高畑勋
1418200,乔·赖特
1292328,王家卫
1294371,查理·卓别林
1291585,宫崎骏
1292274,史蒂文·斯皮尔伯格
10808442,理查德·林克莱特
1858711,李·昂克里奇
3068206,布拉德·伯德
4286017,林诣彬
1291578,卡洛斯·沙尔丹哈 
1291578, 克里斯·韦奇
1297052,近藤喜文
6860160,汤姆·霍珀
1578507,保罗·格林格拉斯
