movie_id,region
25890078,South Korea_韩国
26312967,China_中国大陆
21794463,Denmark_丹麦
21794463,Sweden_瑞典
25755768,United States of America_美国
25862325,France_法国
26297389,South Korea_韩国
3338862,United States of America_美国
5997157,United States of America_美国
26272363,United Kingdom_英国
25767612,South Korea_韩国
26373522,United States of America_美国
25724870,China_香港
25863669,United States of America_美国
25875037,South Korea_韩国
21361076,United States of America_美国
25800699,United Kingdom_英国
25743024,United States of America_美国
24718802,France_法国
24704130,United States of America_美国
20496674,United States of America_美国
25806461,South Korea_韩国
25851668,South Korea_韩国
24705685,United States of America_美国
25790164,Japan_日本
25814628,Germany_德国
21937456,Japan_日本
10776641,United States of America_美国
25967329,India_印度
25896101,United States of America_美国
25903812,South Korea_韩国
25917236,France_法国
25917236,Belgium_比利时
24757324,United States of America_美国
19962556,France_法国
19962556,Belgium_比利时
25687245,Israel_以色列
25687245,France_法国
25687245,Germany_德国
25899439,China_香港
26088329,United Kingdom_英国
25845399,Japan_日本
23011206,Hungary_匈牙利
23011206,Germany_德国
23011206,Sweden_瑞典
5152973,United States of America_美国
5152973,United Kingdom_英国
5152973,Canada_加拿大
25795793,Germany_德国
20388696,United States of America_美国
3006306,United States of America_美国
25853729,Japan_日本
26012018,China_台湾
25886495,China_香港
25795311,Japan_日本
26200413,Poland_波兰
25826239,United States of America_美国
26012598,United States of America_美国
26304164,China_中国大陆
26304162,China_中国大陆
26304161,China_中国大陆
25765830,Canada_加拿大
25728003,Japan_日本
25911450,Czech Republic_捷克
26304160,China_中国大陆
26304159,China_中国大陆
26281899,United States of America_美国
25941964,United States of America_美国
25812731,Japan_日本
25803933,France_法国
25803933,Mauritania_毛里塔尼亚
25809902,France_法国
25767565,South Korea_韩国
26302610,China_中国大陆
21319012,United States of America_美国
25965348,United States of America_美国
25831828,China_台湾
23255228,United States of America_美国
26351660,United States of America_美国
25773294,China_中国大陆
25934062,United States of America_美国
20388974,South Korea_韩国
20388974,Czech Republic_捷克
11638862,United States of America_美国
26301744,China_中国大陆
25800203,Japan_日本
25863916,South Korea_韩国
26304163,China_中国大陆
6521506,Sweden_瑞典
6521506,Germany_德国
6521506,Norway_挪威
6521506,France_法国
25870483,United States of America_美国
25951377,Canada_加拿大
25934051,China_香港
21267622,Japan_日本
24857986,United States of America_美国
22994673,Hungary_匈牙利
22994673,Germany_德国
10757685,United States of America_美国
25725759,United States of America_美国
10518895,Russia_俄罗斯
10518895,Czech Republic_捷克
26299479,United States of America_美国
25792608,Denmark_丹麦 Denmark
23035067,United States of America_美国
25695667,South Korea_韩国
24522866,United Kingdom_英国
24522866,Ireland_爱尔兰
24522866,France_法国
25967447,Japan_日本
25917239,Poland_波兰
25831643,India_印度
19902983,Japan_日本
22011074,Norway_挪威
22011074,Sweden_瑞典
